model,architecture,training,seed,epoch,train_loss,train_clean_loss,train_adversarial_loss,train_accuracy,validation_loss,validation_accuracy,fgsm_train_epsilon,runtime_seconds,device
lenet_standard,lenet,standard,42,1,0.47822348704988304,0.47822348704988304,,0.8566363636363636,0.19509688827991487,0.9394,,25.458506599999964,cpu
lenet_standard,lenet,standard,42,2,0.13380314822847192,0.13380314822847192,,0.9600545454545455,0.11417538160085679,0.9646,,14.149855800002115,cpu
lenet_standard,lenet,standard,42,3,0.09099491032361984,0.09099491032361984,,0.9719636363636364,0.10038637660741806,0.9696,,13.84759579999809,cpu
lenet_standard,lenet,standard,42,4,0.07212625420635396,0.07212625420635396,,0.9777818181818182,0.06920349570512771,0.9792,,13.76789579999604,cpu
lenet_standard,lenet,standard,42,5,0.06129014705636285,0.06129014705636285,,0.9809454545454546,0.06851535392403603,0.9782,,13.907379500000388,cpu
smallcnn_standard,smallcnn,standard,42,1,0.15213494900410826,0.15213494900410826,,0.9534545454545454,0.054320750898122785,0.9836,,110.06354550000106,cpu
smallcnn_standard,smallcnn,standard,42,2,0.047738422691822054,0.047738422691822054,,0.9859454545454546,0.03276900623142719,0.9898,,123.12859759999992,cpu
smallcnn_standard,smallcnn,standard,42,3,0.035953143434903835,0.035953143434903835,,0.9887818181818182,0.041684087684750556,0.9896,,189.2251655,cpu
smallcnn_standard,smallcnn,standard,42,4,0.02859565477750518,0.02859565477750518,,0.9913454545454545,0.029135412321984768,0.9916,,132.32074740000098,cpu
smallcnn_standard,smallcnn,standard,42,5,0.025930871890349823,0.025930871890349823,,0.9913454545454545,0.03074023137688637,0.9912,,112.41989670000476,cpu
lenet_fgsm_at,lenet,fgsm_at,42,1,1.029108932503787,0.6023047476725145,1.4559131164897572,0.8300545454545455,0.188349055314064,0.946,0.25,28.455269899997802,cpu
lenet_fgsm_at,lenet,fgsm_at,42,2,0.3805137233647433,0.14846329073472456,0.6125641577937386,0.9580909090909091,0.14233756759166719,0.9564,0.25,27.478439999998955,cpu
lenet_fgsm_at,lenet,fgsm_at,42,3,0.2606355268586766,0.11172205608974804,0.4095489979917353,0.9673818181818182,0.1142097593307495,0.9622,0.25,27.61806539999816,cpu
lenet_fgsm_at,lenet,fgsm_at,42,4,0.20319492055936292,0.09576704303134571,0.3106227981437336,0.9701272727272727,0.12367115893363953,0.9602,0.25,27.715463299995463,cpu
lenet_fgsm_at,lenet,fgsm_at,42,5,0.17035494423346087,0.0825702047738162,0.2581396843259985,0.9747454545454546,0.10295666477680206,0.9662,0.25,27.63743439999962,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,42,1,0.33348789353804154,0.15705010522929105,0.5099256811011921,0.9551636363636363,0.054288113737106326,0.984,0.25,306.2016623000018,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,42,2,0.12914321522170846,0.04969369542978027,0.20859273520166224,0.9852909090909091,0.03364562954008579,0.9896,0.25,308.39752849999786,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,42,3,0.10899410849701274,0.0376235683538697,0.1803646486564116,0.9891454545454545,0.030878348365426064,0.9906,0.25,301.35562879999634,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,42,4,0.08915541912425648,0.031626537614654414,0.14668430094177073,0.9902727272727273,0.02879979851692915,0.992,0.25,313.72510820000025,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,42,5,0.07941840632720427,0.026556841153177347,0.13227997155948118,0.992,0.02649120547622442,0.993,0.25,308.14464350000344,cpu
lenet_standard,lenet,standard,123,1,0.5015400730696592,0.5015400730696592,,0.8478545454545454,0.1979331246137619,0.94,,15.331438700006402,cpu
lenet_standard,lenet,standard,123,2,0.1410319454171441,0.1410319454171441,,0.957690909090909,0.09471688041687011,0.9716,,13.933895800000755,cpu
lenet_standard,lenet,standard,123,3,0.09344707757126201,0.09344707757126201,,0.9712909090909091,0.07876642029285431,0.9744,,13.401959000002535,cpu
lenet_standard,lenet,standard,123,4,0.07261616636189547,0.07261616636189547,,0.9778545454545454,0.06443147517442703,0.9794,,13.45849299999827,cpu
lenet_standard,lenet,standard,123,5,0.05990307703668421,0.05990307703668421,,0.9811454545454545,0.05587371965646744,0.982,,13.798956600003294,cpu
smallcnn_standard,smallcnn,standard,123,1,0.14237571608315813,0.14237571608315813,,0.9561636363636363,0.042594951629638673,0.987,,117.04700479999883,cpu
smallcnn_standard,smallcnn,standard,123,2,0.04768882843919776,0.04768882843919776,,0.9853090909090909,0.025566192138195037,0.9918,,117.13184820000606,cpu
smallcnn_standard,smallcnn,standard,123,3,0.037630009120702745,0.037630009120702745,,0.9883272727272727,0.02733785879611969,0.9924,,120.16486209999857,cpu
smallcnn_standard,smallcnn,standard,123,4,0.030572976855662737,0.030572976855662737,,0.9902363636363636,0.026704740449786185,0.9916,,116.98660099999688,cpu
smallcnn_standard,smallcnn,standard,123,5,0.024377420312166213,0.024377420312166213,,0.9917454545454546,0.02867111341357231,0.9918,,117.84181740000349,cpu
lenet_fgsm_at,lenet,fgsm_at,123,1,1.1523525191307067,0.6634399848027662,1.6412650520498102,0.8155636363636364,0.2579287757396698,0.9328,0.25,27.926542299996072,cpu
lenet_fgsm_at,lenet,fgsm_at,123,2,0.5978396364255385,0.18407137671709062,1.0116078969088467,0.9508545454545455,0.13500575872659684,0.9634,0.25,28.343486700003268,cpu
lenet_fgsm_at,lenet,fgsm_at,123,3,0.4573106984441931,0.11861609966917472,0.796005296126279,0.9671636363636363,0.09852363423109055,0.9734,0.25,29.96879479999916,cpu
lenet_fgsm_at,lenet,fgsm_at,123,4,0.378692526214773,0.09228076180002906,0.6651042917771773,0.9735636363636364,0.09011961777210235,0.9746,0.25,31.588926600001287,cpu
lenet_fgsm_at,lenet,fgsm_at,123,5,0.32625978008617057,0.0765143059194088,0.5760052537397905,0.9773636363636363,0.07074395030736923,0.9796,0.25,27.889686899994558,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,123,1,0.27422744421687995,0.1597547373804179,0.3887001519159837,0.9540727272727273,0.04782765414714813,0.986,0.25,315.9305749999985,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,123,2,0.0645634725895795,0.05030038119500334,0.07882656412666494,0.9844363636363637,0.043264612042903904,0.9896,0.25,312.3823180000036,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,123,3,0.07235223036787726,0.040529196864095604,0.10417526371262291,0.9871636363636364,0.030045832282304764,0.9902,0.25,319.65511060000426,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,123,4,0.056736299305612393,0.03404325775937601,0.0794293410431255,0.9894545454545455,0.025586132329702378,0.9916,0.25,321.4178152999957,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,123,5,0.0640667488228191,0.029611074866625394,0.09852242291623896,0.9909454545454546,0.028088501521945,0.9914,0.25,301.2422261000029,cpu
lenet_standard,lenet,standard,2026,1,0.5100084423672069,0.5100084423672069,,0.8429818181818182,0.19971658318042756,0.941,,18.035708000010345,cpu
lenet_standard,lenet,standard,2026,2,0.14920551784038544,0.14920551784038544,,0.9541272727272727,0.10315889699459076,0.968,,15.08375750000414,cpu
lenet_standard,lenet,standard,2026,3,0.09161418612328442,0.09161418612328442,,0.9716181818181818,0.09274127607345581,0.9738,,14.06899830000475,cpu
lenet_standard,lenet,standard,2026,4,0.07060562486973676,0.07060562486973676,,0.9778909090909091,0.06930080389976502,0.9774,,14.301153899999917,cpu
lenet_standard,lenet,standard,2026,5,0.05638571144017306,0.05638571144017306,,0.9828545454545454,0.06761539195179939,0.9798,,14.450618599992595,cpu
smallcnn_standard,smallcnn,standard,2026,1,0.1499580844597383,0.1499580844597383,,0.9528909090909091,0.06299774518609047,0.9822,,123.04508370000985,cpu
smallcnn_standard,smallcnn,standard,2026,2,0.047148540314490145,0.047148540314490145,,0.9855454545454545,0.03660526544004679,0.9902,,123.73525370001153,cpu
smallcnn_standard,smallcnn,standard,2026,3,0.034121018435060976,0.034121018435060976,,0.9895090909090909,0.03530279541015625,0.9906,,122.39915399999882,cpu
smallcnn_standard,smallcnn,standard,2026,4,0.030055721674283796,0.030055721674283796,,0.9905454545454545,0.02989443143159151,0.9914,,120.81416999999783,cpu
smallcnn_standard,smallcnn,standard,2026,5,0.02312245473502712,0.02312245473502712,,0.9926,0.033718469005823135,0.9914,,121.78069659999164,cpu
lenet_fgsm_at,lenet,fgsm_at,2026,1,1.2714171783707358,0.7326122678193179,1.8102220859180798,0.799,0.24690535073280334,0.9296,0.25,29.000414100009948,cpu
lenet_fgsm_at,lenet,fgsm_at,2026,2,0.6158694677526301,0.1753913743691011,1.0563475633274426,0.9504727272727272,0.13283599128723145,0.9646,0.25,31.037598299997626,cpu
lenet_fgsm_at,lenet,fgsm_at,2026,3,0.4368957898009907,0.11269750528227199,0.7610940740932117,0.9666363636363636,0.09310376255512237,0.9706,0.25,29.594765900008497,cpu
lenet_fgsm_at,lenet,fgsm_at,2026,4,0.3784484333255074,0.09546558905623176,0.6614312780943784,0.9705090909090909,0.08796682125329972,0.9724,0.25,31.838926299999002,cpu
lenet_fgsm_at,lenet,fgsm_at,2026,5,0.27692814389142123,0.07922965444163843,0.47462663256905296,0.9753090909090909,0.07537734051942825,0.974,0.25,32.31524019999779,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,2026,1,0.33853138460029253,0.15840633964376016,0.5186564277692275,0.9548727272727273,0.04863208932876587,0.9868,0.25,316.5021674000018,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,2026,2,0.1262826196605509,0.04608431697487831,0.20648092263178391,0.9860909090909091,0.03598504308462143,0.9888,0.25,313.9183092999883,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,2026,3,0.07941235265948555,0.03374588730172678,0.12507881804813037,0.9896545454545455,0.0336058580249548,0.9912,0.25,313.22703749999346,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,2026,4,0.05870696008747274,0.029488899316570977,0.08792502059110187,0.9912,0.03217281107455492,0.9912,0.25,315.4417942,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,2026,5,0.03201625654453581,0.02548362488855015,0.03854888816259124,0.9920363636363636,0.029965465754270552,0.9914,0.25,314.0277919000073,cpu
